pathway	pval	padj	ES	NES	nMoreExtreme	size	Reactome_ID
PRC2 methylates histones and DNA	0.00469483568075117	0.0498878284345412	0.793237290550838	2.05292287700378	0	37	R-HSA-212300
Beta defensins	0.00467289719626168	0.0498878284345412	0.792412938566609	2.03670936241222	0	36	R-HSA-1461957
Activation of the pre-replicative complex	0.00467289719626168	0.0498878284345412	0.792109172684692	1.97709588773046	0	33	R-HSA-68962
FCERI mediated NF-kB activation	0.0149253731343284	0.0657818398000186	0.789244811666702	2.64526167924622	0	157	R-HSA-2871837
Signaling by the B Cell Receptor (BCR)	0.0161290322580645	0.0669661086157615	0.787549008083047	2.6516321376921	0	172	R-HSA-983705
Fcgamma receptor (FCGR) dependent phagocytosis	0.0158730158730159	0.066534814138648	0.782713410030818	2.61896982104625	0	165	R-HSA-2029480
Processive synthesis on the lagging strand	0.0134680134680135	0.0617833345106072	0.781235513895834	1.71483241417445	3	15	R-HSA-69183
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.0181818181818182	0.0731734523145566	0.780697682071785	2.69336682903199	0	212	R-HSA-198933
Defective pyroptosis	0.00469483568075117	0.0498878284345412	0.780073070853257	2.01885346536996	0	37	R-HSA-9710421
Packaging Of Telomere Ends	0.0045662100456621	0.0498878284345412	0.779122230854961	1.91435735255614	0	29	R-HSA-171306
Impaired BRCA2 binding to RAD51	0.00465116279069767	0.0498878284345412	0.775395495777311	1.98297076582726	0	35	R-HSA-9709570
G0 and Early G1	0.00431034482758621	0.0498878284345412	0.774506342386874	1.88450225391129	0	27	R-HSA-1538133
Resolution of D-Loop Structures	0.0045662100456621	0.0498878284345412	0.77374690191803	1.96421128655368	0	34	R-HSA-5693537
Interleukin receptor SHC signaling	0.00409836065573771	0.0498878284345412	0.771572916604477	1.88852368743525	0	26	R-HSA-912526
Resolution of D-loop Structures through Holliday Junction Intermediates	0.00467289719626168	0.0498878284345412	0.770791347395854	1.92388682745525	0	33	R-HSA-5693568
Homologous DNA Pairing and Strand Exchange	0.00518134715025907	0.0498878284345412	0.770048233575876	2.07988643639373	0	43	R-HSA-5693579
Lagging Strand Synthesis	0.011070110701107	0.0556285774856901	0.768416306253067	1.80850487725327	2	20	R-HSA-69186
Defective homologous recombination repair (HRR) due to BRCA2 loss of function	0.00492610837438424	0.0498878284345412	0.767990316994453	2.05878114975199	0	41	R-HSA-9701190
Diseases of DNA Double-Strand Break Repair	0.00492610837438424	0.0498878284345412	0.767990316994453	2.05878114975199	0	41	R-HSA-9675136
Cleavage of the damaged purine	0.00467289719626168	0.0498878284345412	0.766760989490115	1.91382709791758	0	33	R-HSA-110331
Depurination	0.00467289719626168	0.0498878284345412	0.766760989490115	1.91382709791758	0	33	R-HSA-73927
Recognition and association of DNA glycosylase with site containing an affected purine	0.00467289719626168	0.0498878284345412	0.766760989490115	1.91382709791758	0	33	R-HSA-110330
Presynaptic phase of homologous DNA pairing and strand exchange	0.00485436893203883	0.0498878284345412	0.766051730719619	2.04738911729242	0	40	R-HSA-5693616
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	0.00465116279069767	0.0498878284345412	0.763655044850233	1.87797751173053	0	30	R-HSA-983170
Translesion Synthesis by POLH	0.0144927536231884	0.0651181258685726	0.763260757356288	1.73489280641492	3	18	R-HSA-110320
Binding and Uptake of Ligands by Scavenger Receptors	0.0119047619047619	0.0563864534983669	0.761762048274863	2.42486538804373	0	118	R-HSA-2173782
G1/S-Specific Transcription	0.0045662100456621	0.0498878284345412	0.754786539638296	1.85456287158101	0	29	R-HSA-69205
Metalloprotease DUBs	0.00431034482758621	0.0498878284345412	0.751145346796694	1.82766108111	0	27	R-HSA-5689901
Negative regulation of FLT3	0.0202020202020202	0.0788840788840789	0.749992112986439	1.64625233088907	5	15	R-HSA-9706369
Costimulation by the CD28 family	0.00746268656716418	0.0498878284345412	0.749822732330024	2.21665487839468	0	74	R-HSA-388841
Nuclear import of Rev protein	0.0045662100456621	0.0498878284345412	0.747997136165713	1.89884368328258	0	34	R-HSA-180746
Nuclear Pore Complex (NPC) Disassembly	0.00467289719626168	0.0498878284345412	0.745110344092757	1.91512927160053	0	36	R-HSA-3301854
DNA strand elongation	0.00952380952380952	0.0527225236085996	0.742242457017715	1.83571200023731	1	32	R-HSA-69190
Replacement of protamines by nucleosomes in the male pronucleus	0.0112359550561798	0.0556285774856901	0.734188597673596	1.76368533627198	2	21	R-HSA-9821993
DAP12 signaling	0.0045662100456621	0.0498878284345412	0.733646468219343	1.80262025006189	0	29	R-HSA-2424491
Fc epsilon receptor (FCERI) signaling	0.0188679245283019	0.0747876645955652	0.72980587328993	2.50093204384488	0	207	R-HSA-2454202
Diseases associated with the TLR signaling cascade	0.00471698113207547	0.0498878284345412	0.729687180990785	1.79846472247009	0	31	R-HSA-5602358
Diseases of Immune System	0.00471698113207547	0.0498878284345412	0.729687180990785	1.79846472247009	0	31	R-HSA-5260271
DNA Damage/Telomere Stress Induced Senescence	0.00588235294117647	0.0498878284345412	0.727809651233859	2.05479939765294	0	57	R-HSA-2559586
Cyclin A/B1/B2 associated events during G2/M transition	0.004149377593361	0.0498878284345412	0.726268008367459	1.76582354833135	0	25	R-HSA-69273
Processing of DNA double-strand break ends	0.0078125	0.0498878284345412	0.725050155541188	2.1293145531661	0	75	R-HSA-5693607
Mismatch Repair	0.0235690235690236	0.0873518613631608	0.724985921000157	1.59136308454733	6	15	R-HSA-5358508
Potential therapeutics for SARS	0.0153846153846154	0.0661790668348045	0.723072877881904	2.4199786484564	0	160	R-HSA-9679191
Transport of Ribonucleoproteins into the Host Nucleus	0.00952380952380952	0.0527225236085996	0.722481193733941	1.786838498315	1	32	R-HSA-168271
Diseases of DNA repair	0.00523560209424084	0.0498878284345412	0.721470667001396	2.01370154657404	0	51	R-HSA-9675135
NEP/NS2 Interacts with the Cellular Export Machinery	0.00952380952380952	0.0527225236085996	0.721347913300805	1.78403567226932	1	32	R-HSA-168333
TCR signaling	0.0112359550561798	0.0556285774856901	0.720549507764775	2.30882027654646	0	123	R-HSA-202403
HDR through Single Strand Annealing (SSA)	0.00469483568075117	0.0498878284345412	0.719556449479318	1.86223455960563	0	37	R-HSA-5685938
Downstream TCR signaling	0.00833333333333333	0.0498878284345412	0.713829087874341	2.26479342703885	0	102	R-HSA-202424
Interactions of Rev with host cellular proteins	0.00469483568075117	0.0498878284345412	0.71324713860607	1.84590586605565	0	37	R-HSA-177243
Vpr-mediated nuclear import of PICs	0.0091324200913242	0.0525514699991989	0.708984469003442	1.79980726585882	1	34	R-HSA-180910
HDR through Homologous Recombination (HRR)	0.0065359477124183	0.0498878284345412	0.708640212306383	2.06351100604827	0	67	R-HSA-5685942
Transcriptional regulation by small RNAs	0.00719424460431655	0.0498878284345412	0.708130833980144	2.10292539688015	0	71	R-HSA-5578749
The role of Nef in HIV-1 replication and disease pathogenesis	0.0087719298245614	0.0511481033877821	0.706814776334969	1.72417959541108	1	28	R-HSA-164952
Cytosolic tRNA aminoacylation	0.0120967741935484	0.0570898120213507	0.705489353136257	1.71516409465002	2	24	R-HSA-379716
Export of Viral Ribonucleoproteins from Nucleus	0.00934579439252336	0.0526252456780715	0.704908009445909	1.75944273183986	1	33	R-HSA-168274
Anti-inflammatory response favouring Leishmania parasite infection	0.0147058823529412	0.0654037886340977	0.703713037162283	2.36438230143578	0	156	R-HSA-9662851
Leishmania parasite growth and survival	0.0147058823529412	0.0654037886340977	0.703713037162283	2.36438230143578	0	156	R-HSA-9664433
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	0.0112359550561798	0.0556285774856901	0.703581652348401	1.69016060321405	2	21	R-HSA-164938
SUMOylation of SUMOylation proteins	0.00930232558139535	0.0526252456780715	0.702939870444507	1.79767514876845	1	35	R-HSA-4085377
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	0.0291970802919708	0.0994975827092615	0.702113362877844	1.56784808333236	7	17	R-HSA-5676594
Rev-mediated nuclear export of HIV RNA	0.00930232558139535	0.0526252456780715	0.699424708699949	1.78868559051776	1	35	R-HSA-165054
NS1 Mediated Effects on Host Pathways	0.00492610837438424	0.0498878284345412	0.699164650910407	1.87427754232697	0	41	R-HSA-168276
Homology Directed Repair	0.0112359550561798	0.0556285774856901	0.696443164420285	2.23122271186696	0	115	R-HSA-5693538
Meiosis	0.00806451612903226	0.0498878284345412	0.696224585197165	2.1026394864145	0	83	R-HSA-1500620
Chromosome Maintenance	0.0103092783505155	0.0549828178694158	0.695726339780226	2.24357411365025	0	114	R-HSA-73886
DNA Replication Pre-Initiation	0.0112359550561798	0.0556285774856901	0.695493711282796	2.2260009663539	0	124	R-HSA-69002
DNA Replication	0.0153846153846154	0.0661790668348045	0.693427629810766	2.29114776171749	0	152	R-HSA-69306
RNA Polymerase I Promoter Escape	0.00571428571428571	0.0498878284345412	0.691519588749553	1.94854290456905	0	55	R-HSA-73772
Orc1 removal from chromatin	0.00719424460431655	0.0498878284345412	0.690381846774692	2.0502164987893	0	71	R-HSA-68949
Nonhomologous End-Joining (NHEJ)	0.00543478260869565	0.0498878284345412	0.690251880242897	1.87206945644894	0	46	R-HSA-5693571
G2/M Checkpoints	0.012987012987013	0.0602083428938553	0.689686583669687	2.27748941726012	0	145	R-HSA-69481
Transcription of E2F targets under negative control by DREAM complex	0.0330882352941176	0.108801415302963	0.689268871004308	1.59142520943517	8	19	R-HSA-1362277
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	0.00485436893203883	0.0498878284345412	0.689191752752208	1.84196920094031	0	40	R-HSA-427389
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.0105263157894737	0.0556285774856901	0.68828958582079	2.17675919105877	0	109	R-HSA-5693567
ER-Phagosome pathway	0.0078740157480315	0.0498878284345412	0.685614710746051	2.11714930342148	0	91	R-HSA-1236974
Telomere Maintenance	0.00775193798449612	0.0498878284345412	0.683254812685677	2.10917259388526	0	89	R-HSA-157579
G2/M DNA damage checkpoint	0.00735294117647059	0.0498878284345412	0.6823301903718	2.00996550796134	0	72	R-HSA-69473
Interactions of Vpr with host cellular proteins	0.00469483568075117	0.0498878284345412	0.681195088639192	1.76295415990707	0	37	R-HSA-176033
Assembly of the pre-replicative complex	0.0099009900990099	0.0536780950822355	0.678662421261113	2.14888587910646	0	107	R-HSA-68867
SUMOylation of ubiquitinylation proteins	0.004739336492891	0.0498878284345412	0.677624104109923	1.80154089319341	0	39	R-HSA-3232142
Formation of the cornified envelope	0.0101010101010101	0.054537140956894	0.676555388225654	2.21391678563328	0	129	R-HSA-6809371
Nuclear Envelope Breakdown	0.00552486187845304	0.0498878284345412	0.676042145523778	1.88886853154045	0	53	R-HSA-2980766
E2F mediated regulation of DNA replication	0.0114068441064639	0.0562623288258669	0.676006151056259	1.63250196188886	2	22	R-HSA-113510
Keratinization	0.0222222222222222	0.0835402737981535	0.675272170374639	2.32047605424744	0	217	R-HSA-6805567
Extension of Telomeres	0.00523560209424084	0.0498878284345412	0.673064432074766	1.87859458437319	0	51	R-HSA-180786
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	0.056140350877193	0.160470894010626	0.671612227583062	1.49648226593442	15	16	R-HSA-1362300
Transport of the SLBP Dependant Mature mRNA	0.00934579439252336	0.0526252456780715	0.671577984047131	1.72613179458293	1	36	R-HSA-159230
SUMOylation of DNA replication proteins	0.00543478260869565	0.0498878284345412	0.670994421617705	1.81984026137834	0	46	R-HSA-4615885
PCNA-Dependent Long Patch Base Excision Repair	0.0262172284644195	0.0932168123179359	0.67019037984525	1.609947293092	6	21	R-HSA-5651801
G1/S Transition	0.0111111111111111	0.0556285774856901	0.669607128751087	2.18822479971577	0	131	R-HSA-69206
Cleavage of the damaged pyrimidine	0.00485436893203883	0.0498878284345412	0.668957489925461	1.74592505864599	0	38	NA
Depyrimidination	0.00485436893203883	0.0498878284345412	0.668957489925461	1.74592505864599	0	38	R-HSA-73928
Recognition and association of DNA glycosylase with site containing an affected pyrimidine	0.00485436893203883	0.0498878284345412	0.668957489925461	1.74592505864599	0	38	R-HSA-110328
Dual Incision in GG-NER	0.00492610837438424	0.0498878284345412	0.66842412524533	1.79187023409371	0	41	R-HSA-5696400
Meiotic synapsis	0.00584795321637427	0.0498878284345412	0.66664219861363	1.87651857474458	0	56	R-HSA-1221632
Recognition of DNA damage by PCNA-containing replication complex	0.0186046511627907	0.0743076138873681	0.664626676040635	1.63444733288616	3	30	R-HSA-110314
Gap-filling DNA repair synthesis and ligation in GG-NER	0.020746887966805	0.079358358636875	0.663634198827817	1.61353781560933	4	25	R-HSA-5696397
Telomere Extension By Telomerase	0.02734375	0.0959224598930481	0.663168884215616	1.61725350107223	6	23	R-HSA-171319
Resolution of AP sites via the multiple-nucleotide patch replacement pathway	0.020746887966805	0.079358358636875	0.662906952835931	1.61176961422485	4	25	R-HSA-110373
Transport of the SLBP independent Mature mRNA	0.013953488372093	0.0633459402913012	0.66205714759213	1.69312302706388	2	35	R-HSA-159227
Antigen processing-Cross presentation	0.00925925925925926	0.0526252456780715	0.659946428673651	2.09335703174615	0	106	R-HSA-1236975
Chromatin modifications during the maternal to zygotic transition (MZT)	0.0182648401826484	0.0732827838520939	0.659831938707952	1.67503008803783	3	34	R-HSA-9821002
Base-Excision Repair, AP Site Formation	0.00485436893203883	0.0498878284345412	0.659624536169845	1.76294634251991	0	40	R-HSA-73929
Translesion synthesis by POLK	0.0583941605839416	0.164405877008866	0.658556504992681	1.47058382408038	15	17	R-HSA-5655862
Synthesis of DNA	0.0114942528735632	0.0562703722765483	0.658378554554788	2.09741086578114	0	121	R-HSA-69239
HDACs deacetylate histones	0.00588235294117647	0.0498878284345412	0.657822929916641	1.85720834817658	0	57	R-HSA-3214815
FLT3 Signaling	0.00970873786407767	0.0532965024170289	0.656940307017575	1.71456118113631	1	38	R-HSA-9607240
APC/C-mediated degradation of cell cycle proteins	0.00763358778625954	0.0498878284345412	0.656330903778999	2.0255537626579	0	88	R-HSA-174143
Regulation of mitotic cell cycle	0.00763358778625954	0.0498878284345412	0.656330903778999	2.0255537626579	0	88	R-HSA-453276
Inhibition of DNA recombination at telomere	0.00510204081632653	0.0498878284345412	0.655909891993974	1.78194780641817	0	44	R-HSA-9670095
B-WICH complex positively regulates rRNA expression	0.00571428571428571	0.0498878284345412	0.654306496189796	1.84368498204005	0	55	R-HSA-5250924
Translesion synthesis by REV1	0.0807017543859649	0.214768157716807	0.651291362282445	1.45120343791151	22	16	R-HSA-110312
DNA Damage Bypass	0.00543478260869565	0.0498878284345412	0.650675586338916	1.77559488119153	0	47	R-HSA-73893
CD28 dependent PI3K/Akt signaling	0.0494296577946768	0.14639212421358	0.646441194783588	1.56110490574835	12	22	R-HSA-389357
Switching of origins to a post-replicative state	0.00793650793650794	0.0498878284345412	0.644609320823176	1.99264714976267	0	92	R-HSA-69052
Translesion synthesis by POLI	0.0802919708029197	0.214111922141119	0.64422523964184	1.43858151775773	21	17	R-HSA-5656121
Transport of Mature mRNAs Derived from Intronless Transcripts	0.00518134715025907	0.0498878284345412	0.644203087564673	1.73998095922741	0	43	R-HSA-159234
GRB2:SOS provides linkage to MAPK signaling for Integrins	0.107744107744108	0.268745759240056	0.643303216704612	1.41206740928428	31	15	NA
Synthesis of PIPs at the early endosome membrane	0.0912280701754386	0.237482595377332	0.641784060409453	1.43001932591132	25	16	R-HSA-1660516
Base Excision Repair	0.0065359477124183	0.0498878284345412	0.639582278883037	1.88895557122047	0	68	R-HSA-73884
Termination of translesion DNA synthesis	0.0285714285714286	0.0982876712328767	0.638851916049374	1.58000679909697	5	32	R-HSA-5656169
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0.008	0.0498878284345412	0.63775441376745	1.88492200960059	0	77	R-HSA-176814
Postmitotic nuclear pore complex (NPC) reformation	0.0387931034482759	0.122054080873232	0.637161921590695	1.5503205224165	8	27	R-HSA-9615933
Regulation of APC/C activators between G1/S and early anaphase	0.008	0.0498878284345412	0.636949868877531	1.89892366539469	0	81	R-HSA-176408
Mitotic Prophase	0.0099009900990099	0.0536780950822355	0.636802353776043	2.01634206188736	0	107	R-HSA-68875
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	0.00970873786407767	0.0532965024170289	0.636567355346874	1.66138942153104	1	38	R-HSA-110313
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	0.0053475935828877	0.0498878284345412	0.63642530663727	1.77443050072475	0	52	R-HSA-69601
p53-Independent DNA Damage Response	0.0053475935828877	0.0498878284345412	0.63642530663727	1.77443050072475	0	52	R-HSA-69610
p53-Independent G1/S DNA damage checkpoint	0.0053475935828877	0.0498878284345412	0.63642530663727	1.77443050072475	0	52	R-HSA-69613
Formation of the beta-catenin:TCF transactivating complex	0.00584795321637427	0.0498878284345412	0.635636044663511	1.78923993570884	0	56	R-HSA-201722
Cell Cycle Checkpoints	0.0303030303030303	0.101942501942502	0.635541095663876	2.19104927891176	0	267	R-HSA-69620
Interleukin-3, Interleukin-5 and GM-CSF signaling	0.00543478260869565	0.0498878284345412	0.635386864565868	1.73387428080305	0	47	R-HSA-512988
S Phase	0.0149253731343284	0.0657818398000186	0.635262982518976	2.1265017879297	0	163	R-HSA-69242
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	0.00813008130081301	0.0498878284345412	0.635145336493063	1.96602767176823	0	93	R-HSA-141444
Amplification of signal from the kinetochores	0.00813008130081301	0.0498878284345412	0.635145336493063	1.96602767176823	0	93	R-HSA-141424
Transport of Mature mRNA Derived from an Intronless Transcript	0.00512820512820513	0.0498878284345412	0.634996583738451	1.70407814751832	0	42	R-HSA-159231
DNA Double-Strand Break Repair	0.012987012987013	0.0602083428938553	0.634712157196779	2.09595235756294	0	145	R-HSA-5693532
Transcriptional regulation of granulopoiesis	0.00552486187845304	0.0498878284345412	0.632110405375848	1.77184074500406	0	54	R-HSA-9616222
SCF-beta-TrCP mediated degradation of Emi1	0.00571428571428571	0.0498878284345412	0.630777007962962	1.77738430440423	0	55	R-HSA-174113
APC/C:Cdc20 mediated degradation of mitotic proteins	0.00793650793650794	0.0498878284345412	0.629767324599789	1.85450563465913	0	76	R-HSA-176409
Initiation of Nuclear Envelope (NE) Reformation	0.0845588235294118	0.222773446728089	0.629056816970981	1.45240401649941	22	19	R-HSA-2995383
NoRC negatively regulates rRNA expression	0.0072992700729927	0.0498878284345412	0.628206816691007	1.84542472495169	0	70	R-HSA-427413
Stabilization of p53	0.00584795321637427	0.0498878284345412	0.627780296050518	1.76712693682959	0	56	R-HSA-69541
Autodegradation of the E3 ubiquitin ligase COP1	0.00523560209424084	0.0498878284345412	0.627700452905767	1.75197888232249	0	51	R-HSA-349425
Ubiquitin-dependent degradation of Cyclin D	0.0053475935828877	0.0498878284345412	0.624238190826485	1.74045135221354	0	52	R-HSA-75815
NIK-->noncanonical NF-kB signaling	0.00584795321637427	0.0498878284345412	0.623429263097166	1.77161233642996	0	59	R-HSA-5676590
Vpu mediated degradation of CD4	0.0053475935828877	0.0498878284345412	0.622594873886429	1.7358695864189	0	52	R-HSA-180534
DAP12 interactions	0.00492610837438424	0.0498878284345412	0.622362962572764	1.66839230559969	0	41	R-HSA-2172127
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	0.0428571428571429	0.131682837069254	0.620944540434191	1.53571832705021	8	32	R-HSA-5619107
Regulation of Glucokinase by Glucokinase Regulatory Protein	0.0428571428571429	0.131682837069254	0.620944540434191	1.53571832705021	8	32	R-HSA-170822
Regulation of Apoptosis	0.00552486187845304	0.0498878284345412	0.620773701266613	1.73444794425047	0	53	R-HSA-169911
SCF(Skp2)-mediated degradation of p27/p21	0.00591715976331361	0.0498878284345412	0.617948675580331	1.76164843712744	0	60	R-HSA-187577
Regulation of activated PAK-2p34 by proteasome mediated degradation	0.00520833333333333	0.0498878284345412	0.617893249354254	1.71017293558204	0	50	R-HSA-211733
Host Interactions of HIV factors	0.0111111111111111	0.0556285774856901	0.616793459984764	2.01563377611961	0	131	R-HSA-162909
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.00746268656716418	0.0498878284345412	0.616239160988305	1.82174997311411	0	74	R-HSA-179419
Cyclin A:Cdk2-associated events at S phase entry	0.0078740157480315	0.0498878284345412	0.616116510843945	1.87695328051566	0	85	R-HSA-69656
Signaling by cytosolic FGFR1 fusion mutants	0.101449275362319	0.257291592383941	0.615685684413732	1.39945445197757	27	18	R-HSA-1839117
Negative epigenetic regulation of rRNA expression	0.0075187969924812	0.0498878284345412	0.615427034063109	1.80931784605327	0	73	R-HSA-5250941
Leishmania infection	0.0285714285714286	0.0982876712328767	0.615271895945371	2.11708018155768	0	241	R-HSA-9658195
Parasitic Infection Pathways	0.0285714285714286	0.0982876712328767	0.615271895945371	2.11708018155768	0	241	R-HSA-9824443
Fanconi Anemia Pathway	0.0327102803738318	0.108757667747154	0.615139652925347	1.58107046128039	6	36	R-HSA-6783310
Telomere C-strand (Lagging Strand) Synthesis	0.045662100456621	0.136733812735421	0.614753908677453	1.5605963175865	9	34	R-HSA-174417
Cyclin E associated events during G1/S transition	0.00806451612903226	0.0498878284345412	0.614244617713221	1.855055128735	0	83	NA
Processive synthesis on the C-strand of the telomere	0.0992647058823529	0.254863589271325	0.613281789865543	1.41598169007323	26	19	R-HSA-174414
CDK-mediated phosphorylation and removal of Cdc6	0.0075187969924812	0.0498878284345412	0.610903378421867	1.79601857509492	0	73	R-HSA-69017
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.0075187969924812	0.0498878284345412	0.609012297855823	1.79045891387257	0	73	R-HSA-174184
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	0.00571428571428571	0.0498878284345412	0.60865402275304	1.71504682827195	0	55	R-HSA-8854050
Regulation of TP53 Expression and Degradation	0.0328638497652582	0.108757667747154	0.608381865128404	1.5745112638477	6	37	R-HSA-6806003
Mitotic Spindle Checkpoint	0.0106382978723404	0.0556285774856901	0.608115434769529	1.92423657429012	0	110	R-HSA-69618
AUF1 (hnRNP D0) binds and destabilizes mRNA	0.00571428571428571	0.0498878284345412	0.607773664657668	1.71256618195603	0	55	R-HSA-450408
