Reactome_ID	pathway	CI
R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	0.568272280563362
R-HSA-9673768	Signaling by membrane-tethered fusions of PDGFRA or PDGFRB	0.568268993738599
R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0.568153954871896
R-HSA-114508	Effects of PIP2 hydrolysis	0.567628062909826
R-HSA-71240	Tryptophan catabolism	0.56709559729823
R-HSA-1810476	RIP-mediated NFkB activation via ZBP1	0.566931256060083
R-HSA-5607763	CLEC7A (Dectin-1) induces NFAT activation	0.566796496244803
R-HSA-114604	GPVI-mediated activation cascade	0.566615720882841
R-HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	0.566566418511397
R-HSA-9658195	Leishmania infection	0.566431658696117
R-HSA-9824443	Parasitic Infection Pathways	0.566431658696117
R-HSA-1369062	ABC transporters in lipid homeostasis	0.566181860014133
R-HSA-139853	Elevation of cytosolic Ca2+ levels	0.566086542096008
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	0.565836743414025
R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	0.565665828526352
R-HSA-9664433	Leishmania parasite growth and survival	0.565665828526352
R-HSA-9679191	Potential therapeutics for SARS	0.565659254876826
R-HSA-1679131	Trafficking and processing of endosomal TLR	0.565639533928249
R-HSA-9027283	Erythropoietin activates STAT5	0.565514634587257
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	0.565432463968184
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	0.565373301122451
R-HSA-913531	Interferon Signaling	0.565133362914756
R-HSA-9636383	Prevention of phagosomal-lysosomal fusion	0.565051192295683
R-HSA-912631	Regulation of signaling by CBL	0.565005176749002
R-HSA-173736	Alternative complement activation	0.564794819964174
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	0.564738943943204
R-HSA-9020956	Interleukin-27 signaling	0.564587750004109
R-HSA-9664422	FCGR3A-mediated phagocytosis	0.564485858436457
R-HSA-9664417	Leishmania phagocytosis	0.564485858436457
R-HSA-9664407	Parasite infection	0.564485858436457
R-HSA-2029485	Role of phospholipids in phagocytosis	0.564213051981134
R-HSA-2871809	FCERI mediated Ca+2 mobilization	0.563992834722017
R-HSA-382556	ABC-family proteins mediated transport	0.563959966474387
R-HSA-166663	Initial triggering of complement	0.563950106000099
R-HSA-5690714	CD22 mediated BCR regulation	0.563894229979129
R-HSA-140534	Caspase activation via Death Receptors in the presence of ligand	0.563779191112426
R-HSA-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	0.563766043813374
R-HSA-2029481	FCGR activation	0.563516245131391
R-HSA-447115	Interleukin-12 family signaling	0.563345330243718
R-HSA-75072	mRNA Editing	0.563233578201778
R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	0.562970632220743
R-HSA-9020591	Interleukin-12 signaling	0.562789856858782
R-HSA-2871837	FCERI mediated NF-kB activation	0.562724120363523
R-HSA-166786	Creation of C4 and C2 activators	0.562717546713997
R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG)	0.562655097043501
R-HSA-168927	TICAM1, RIP1-mediated IKK complex recruitment	0.562395437887229
R-HSA-166658	Complement cascade	0.562346135515785
R-HSA-977606	Regulation of Complement cascade	0.562089763184276
R-HSA-173623	Classical antibody-mediated complement activation	0.562014166214728
R-HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	0.561899127348025
R-HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	0.561701917862249
R-HSA-9701898	STAT3 nuclear events downstream of ALK signaling	0.561074134332528
R-HSA-1236973	Cross-presentation of particulate exogenous antigens (phagosomes)	0.561018258311558
R-HSA-2871796	FCERI mediated MAPK activation	0.560955808641062
R-HSA-9013957	TLR3-mediated TICAM1-dependent programmed cell death	0.560758599155286
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	0.560094660553173
R-HSA-933541	TRAF6 mediated IRF7 activation	0.559683807457805
R-HSA-5357786	TNFR1-induced proapoptotic signaling	0.559526039869184
R-HSA-2168880	Scavenging of heme from plasma	0.559430721951059
R-HSA-1834941	STING mediated induction of host immune responses	0.559338690857697
R-HSA-380108	Chemokine receptors bind chemokines	0.558825946194679
R-HSA-9014325	TICAM1,TRAF6-dependent induction of TAK1 complex	0.558806225246101
R-HSA-168256	Immune System	0.558474255945044
R-HSA-5218900	CASP8 activity is inhibited	0.558079836973492
R-HSA-69416	Dimerization of procaspase-8	0.558079836973492
R-HSA-3371378	Regulation by c-FLIP	0.558079836973492
R-HSA-9679506	SARS-CoV Infections	0.556883432759782
R-HSA-933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	0.556492300612993
R-HSA-5213460	RIPK1-mediated regulated necrosis	0.556245788755772
R-HSA-5675482	Regulation of necroptotic cell death	0.556245788755772
R-HSA-9824446	Viral Infection Pathways	0.555992703249026
R-HSA-1483148	Synthesis of PG	0.555857943433746
R-HSA-5663205	Infectious disease	0.555664020772732
R-HSA-1236977	Endosomal/Vacuolar pathway	0.555440516688853
R-HSA-210990	PECAM1 interactions	0.555272888625943
R-HSA-909733	Interferon alpha/beta signaling	0.554641818271459
R-HSA-1433559	Regulation of KIT signaling	0.554046902989367
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	0.55369192591497
R-HSA-1433557	Signaling by SCF-KIT	0.553596607996845
R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	0.553550592450163
R-HSA-418360	Platelet calcium homeostasis	0.553228483623396
R-HSA-75094	Formation of the Editosome	0.553159460303374
R-HSA-72200	mRNA Editing: C to U Conversion	0.553159460303374
R-HSA-168898	Toll-like Receptor Cascades	0.552643428815593
R-HSA-9840310	Glycosphingolipid catabolism	0.552623707867015
R-HSA-1266695	Interleukin-7 signaling	0.552571118670808
R-HSA-9645460	Alpha-protein kinase 1 signaling pathway	0.552377196009795
R-HSA-8866423	VLDL assembly	0.552347614586928
R-HSA-5669034	TNFs bind their physiological receptors	0.55142073000378
R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	0.551338559384706
R-HSA-9664424	Cell recruitment (pro-inflammatory response)	0.551325412085655
R-HSA-9660826	Purinergic signaling in leishmaniasis infection	0.551325412085655
R-HSA-202733	Cell surface interactions at the vascular wall	0.551230094167529
R-HSA-937041	IKK complex recruitment mediated by RIP1	0.551111768476064
R-HSA-3270619	IRF3-mediated induction of type I IFN	0.550888264392184
R-HSA-912694	Regulation of IFNA/IFNB signaling	0.550845535670266
R-HSA-1280215	Cytokine Signaling in Immune system	0.550674620782593
R-HSA-174577	Activation of C3 and C5	0.550487271771106
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	0.550467550822528
R-HSA-1169092	Activation of RAS in B cells	0.550270341336752
R-HSA-9012546	Interleukin-18 signaling	0.550240759913885
R-HSA-3134975	Regulation of innate immune responses to cytosolic DNA	0.550227612614833
R-HSA-75893	TNF signaling	0.549872635540436
R-HSA-73621	Pyrimidine catabolism	0.549330309454551
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	0.549034495225887
R-HSA-168638	NOD1/2 Signaling Pathway	0.548741967821986
R-HSA-168249	Innate Immune System	0.548495455964765
R-HSA-167590	Nef Mediated CD4 Down-regulation	0.548183207612286
R-HSA-9667769	Acetylcholine inhibits contraction of outer hair cells	0.548101036993213
R-HSA-9617629	Regulation of FOXO transcriptional activity by acetylation	0.547959703528406
R-HSA-5621575	CD209 (DC-SIGN) signaling	0.547953129878881
R-HSA-5602358	Diseases associated with the TLR signaling cascade	0.547795362290259
R-HSA-5260271	Diseases of Immune System	0.547795362290259
R-HSA-8964011	HDL clearance	0.547785501815971
R-HSA-2025928	Calcineurin activates NFAT	0.547588292330194
R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	0.547177439234827
R-HSA-1483255	PI Metabolism	0.546986803398577
R-HSA-1606322	ZBP1(DAI) mediated induction of type I IFNs	0.546960508800473
R-HSA-109582	Hemostasis	0.546891485480452
R-HSA-112411	MAPK1 (ERK2) activation	0.546395174941248
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	0.546119081661161
R-HSA-5689896	Ovarian tumor domain proteases	0.54605005834114
R-HSA-1236975	Antigen processing-Cross presentation	0.545977748196355
R-HSA-8951936	RUNX3 regulates p14-ARF	0.545912011701096
R-HSA-9725370	Signaling by ALK fusions and activated point mutants	0.545248073098983
R-HSA-9700206	Signaling by ALK in cancer	0.545248073098983
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	0.544584134496869
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	0.544538118950188
R-HSA-1660516	Synthesis of PIPs at the early endosome membrane	0.544528258475899
R-HSA-8952158	RUNX3 regulates BCL2L11 (BIM) transcription	0.544508537527322
R-HSA-2562578	TRIF-mediated programmed cell death	0.544396785485382
R-HSA-8939245	RUNX1 regulates transcription of genes involved in BCR signaling	0.544324475340597
R-HSA-5662702	Melanin biosynthesis	0.544169994576739
R-HSA-1461957	Beta defensins	0.544156847277687
R-HSA-9705671	SARS-CoV-2 activates/modulates innate and adaptive immune responses	0.54385774622426
R-HSA-1170546	Prolactin receptor signaling	0.543469900902233
R-HSA-982772	Growth hormone receptor signaling	0.543124784302125
R-HSA-918233	TRAF3-dependent IRF activation pathway	0.543065621456392
R-HSA-166166	MyD88-independent TLR4 cascade 	0.543013032260185
R-HSA-937061	TRIF (TICAM1)-mediated TLR4 signaling 	0.543013032260185
R-HSA-9693928	Defective RIPK1-mediated regulated necrosis	0.542986737662081
R-HSA-9027284	Erythropoietin activates RAS	0.542921001166823
R-HSA-9758274	Regulation of NF-kappa B signaling	0.542779667702016
R-HSA-110056	MAPK3 (ERK1) activation	0.542687636608654
R-HSA-9669938	Signaling by KIT in disease	0.542674489309602
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	0.542674489309602
R-HSA-1059683	Interleukin-6 signaling	0.542648194711499
R-HSA-196807	Nicotinate metabolism	0.542500287597167
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	0.54181005439695
R-HSA-9692916	SARS-CoV-1 activates/modulates innate immune responses	0.541731170602639
R-HSA-975155	MyD88 dependent cascade initiated on endosome	0.541491232394945
R-HSA-1839117	Signaling by cytosolic FGFR1 fusion mutants	0.541458364147316
R-HSA-2197563	NOTCH2 intracellular domain regulates transcription	0.541162549918651
R-HSA-5653656	Vesicle-mediated transport	0.540978487731927
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	0.540906177587142
R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	0.540906177587142
R-HSA-6783783	Interleukin-10 signaling	0.54081414649378
R-HSA-197264	Nicotinamide salvaging	0.540804286019491
R-HSA-5357905	Regulation of TNFR1 signaling	0.54045588259462
R-HSA-936964	Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)	0.540413153872701
R-HSA-182218	Nef Mediated CD8 Down-regulation	0.54036713832602
R-HSA-8964043	Plasma lipoprotein clearance	0.539979293003993
R-HSA-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	0.539828099064898
R-HSA-74217	Purine salvage	0.539584874032441
R-HSA-1296052	Ca2+ activated K+ channels	0.539463261516212
R-HSA-8939256	RUNX1 regulates transcription of genes involved in WNT signaling	0.539229896958044
R-HSA-5607764	CLEC7A (Dectin-1) signaling	0.53890121448175
R-HSA-432142	Platelet sensitization by LDL	0.538802609738862
R-HSA-162594	Early Phase of HIV Life Cycle	0.538605400253085
R-HSA-199220	Vitamin B5 (pantothenate) metabolism	0.538585679304508
R-HSA-199920	CREB phosphorylation	0.538171539384378
R-HSA-1300642	Sperm Motility And Taxes	0.537938174826209
R-HSA-9664535	LTC4-CYSLTR mediated IL4 production	0.537842856908084
R-HSA-3296469	Defects in cobalamin (B12) metabolism	0.537770546763299
R-HSA-1643685	Disease	0.537648934247071
R-HSA-9694631	Maturation of nucleoprotein	0.537533895380368
R-HSA-1236974	ER-Phagosome pathway	0.537481306184161
R-HSA-449147	Signaling by Interleukins	0.537238081151703
R-HSA-5626978	TNFR1-mediated ceramide production	0.536597150322931
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	0.536531413827672
R-HSA-162909	Host Interactions of HIV factors	0.536337491166658
R-HSA-975871	MyD88 cascade initiated on plasma membrane	0.536330917517133
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	0.536330917517133
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	0.536330917517133
R-HSA-75892	Platelet Adhesion to exposed collagen	0.536324343867607
R-HSA-3000480	Scavenging by Class A Receptors	0.536304622919029
R-HSA-9682385	FLT3 signaling in disease	0.536189584052326
R-HSA-1912420	Pre-NOTCH Processing in Golgi	0.536041676937994
R-HSA-5603041	IRAK4 deficiency (TLR2/4)	0.536031816463705
R-HSA-417957	P2Y receptors	0.535607816069286
R-HSA-8983711	OAS antiviral response	0.53552235862545
R-HSA-9833109	Evasion by RSV of host interferon responses	0.535358017387303
R-HSA-5602498	MyD88 deficiency (TLR2/4)	0.535196962973919
R-HSA-9671555	Signaling by PDGFR in disease	0.534980032539565
R-HSA-418346	Platelet homeostasis	0.534565892619435
R-HSA-3295583	TRP channels	0.534467287876547
R-HSA-1660499	Synthesis of PIPs at the plasma membrane	0.534293086164111
R-HSA-9637687	Suppression of phagosomal maturation	0.534063008430706
R-HSA-983169	Class I MHC mediated antigen processing & presentation	0.533934822264951
R-HSA-156587	Amino Acid conjugation	0.533711318181071
R-HSA-159424	Conjugation of carboxylic acids	0.533711318181071
R-HSA-5619084	ABC transporter disorders	0.533494387746717
R-HSA-8963888	Chylomicron assembly	0.533494387746717
R-HSA-1489509	DAG and IP3 signaling	0.533234728590445
R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	0.533205147167579
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	0.533205147167579
R-HSA-114516	Disinhibition of SNARE formation	0.533165705270424
R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	0.533057240053247
R-HSA-9637628	Modulation by Mtb of host immune system	0.532909332938914
R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	0.532876464691285
R-HSA-111931	PKA-mediated phosphorylation of CREB	0.532754852175056
R-HSA-389599	Alpha-oxidation of phytanate	0.532738418051242
R-HSA-8963898	Plasma lipoprotein assembly	0.532652960607405
R-HSA-933542	TRAF6 mediated NF-kB activation	0.53225525481109
R-HSA-1222556	ROS and RNS production in phagocytes	0.532219099738697
R-HSA-177128	Conjugation of salicylate with glycine	0.532182944666305
R-HSA-9683701	Translation of Structural Proteins	0.532025177077684
R-HSA-1660517	Synthesis of PIPs at the late endosome membrane	0.531906851386218
R-HSA-9823730	Formation of definitive endoderm	0.531883843612878
R-HSA-6806003	Regulation of TP53 Expression and Degradation	0.531870696313826
R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	0.531351378001282
R-HSA-9674555	Signaling by CSF3 (G-CSF)	0.531285641506023
R-HSA-6793080	rRNA modification in the mitochondrion	0.531193610412661
R-HSA-4420097	VEGFA-VEGFR2 Pathway	0.531150881690743
R-HSA-8956321	Nucleotide salvage	0.531065424246906
R-HSA-975110	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	0.531029269174514
R-HSA-975163	IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	0.530855067462078
R-HSA-6811438	Intra-Golgi traffic	0.530503377212444
R-HSA-8949664	Processing of SMDT1	0.530266725829512
R-HSA-8951430	RUNX3 regulates WNT signaling	0.530030074446581
R-HSA-163615	PKA activation	0.529711252444576
R-HSA-70350	Fructose catabolism	0.529658663248369
R-HSA-8939246	RUNX1 regulates transcription of genes involved in differentiation of myeloid cells	0.529652089598843
R-HSA-9705462	Inactivation of CSF3 (G-CSF) signaling	0.52945816693783
R-HSA-194138	Signaling by VEGF	0.52936942266923
R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation  	0.529300399349209
R-HSA-2206281	Mucopolysaccharidoses	0.529231376029187
R-HSA-9846298	Defective binding of VWF variant to GPIb:IX:V	0.529076895265329
R-HSA-9845620	Enhanced binding of GP1BA variant to VWF multimer:collagen 	0.529076895265329
R-HSA-937072	TRAF6-mediated induction of TAK1 complex within TLR4 complex	0.529021019244359
R-HSA-9637690	Response of Mtb to phagocytosis	0.529007871945307
R-HSA-5689901	Metalloprotease DUBs	0.528856678006212
R-HSA-9726842	Gain-of-function MRAS complexes activate RAF signaling	0.528823809758583
R-HSA-9726840	SHOC2 M1731 mutant abolishes MRAS complex function	0.528823809758583
R-HSA-9660537	Signaling by MRAS-complex mutants	0.528823809758583
R-HSA-391903	Eicosanoid ligand-binding receptors	0.528725205015695
R-HSA-112043	PLC beta mediated events	0.528580584726125
R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	0.528153297506943
R-HSA-397795	G-protein beta:gamma signalling	0.527627405544873
R-HSA-2161522	Abacavir ADME	0.527548521750563
R-HSA-1606341	IRF3 mediated activation of type 1 IFN	0.527502506203882
R-HSA-2132295	MHC class II antigen presentation	0.52748935890483
R-HSA-189085	Digestion of dietary carbohydrate	0.527482785255304
R-HSA-209931	Serotonin and melatonin biosynthesis	0.52743348288386
R-HSA-5652084	Fructose metabolism	0.527400614636231
R-HSA-391160	Signal regulatory protein family interactions	0.526950319643708
R-HSA-9635486	Infection with Mycobacterium tuberculosis	0.52677283110651
R-HSA-8874211	CREB3 factors activate genes	0.526753110157932
R-HSA-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	0.526674226363621
R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	0.526194349948233
R-HSA-174430	Telomere C-strand synthesis initiation	0.526099032030107
R-HSA-170660	Adenylate cyclase activating pathway	0.525970845864353
R-HSA-164378	PKA activation in glucagon signalling	0.525928117142435
R-HSA-2161517	Abacavir transmembrane transport	0.525852520172887
R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	0.525573140068037
R-HSA-9823587	Defects of platelet adhesion to exposed collagen	0.52538579105655
R-HSA-9008059	Interleukin-37 signaling	0.525326628210817
R-HSA-5621481	C-type lectin receptors (CLRs)	0.524991372084997
R-HSA-391908	Prostanoid ligand receptors	0.524504922020082
R-HSA-111996	Ca-dependent events	0.524393169978143
R-HSA-71403	Citric acid cycle (TCA cycle)	0.524153231770448
R-HSA-6804757	Regulation of TP53 Degradation	0.524123650347582
R-HSA-2022857	Keratan sulfate degradation	0.524038192903745
R-HSA-9702518	STAT5 activation downstream of FLT3 ITD mutants	0.52391986721228
R-HSA-112040	G-protein mediated events	0.523870564840835
R-HSA-111997	CaM pathway	0.523765386448422
R-HSA-111933	Calmodulin induced events	0.523765386448422
R-HSA-5603029	IkBA variant leads to EDA-ID	0.523558316488356
R-HSA-177135	Conjugation of benzoate with glycine	0.523522161415964
R-HSA-389661	Glyoxylate metabolism and glycine degradation	0.523512300941675
R-HSA-5663084	Diseases of carbohydrate metabolism	0.522979835330079
R-HSA-111461	Cytochrome c-mediated apoptotic response	0.522674160627126
R-HSA-5668599	RHO GTPases Activate NADPH Oxidases	0.52264457920426
R-HSA-163358	PKA-mediated phosphorylation of key metabolic factors	0.522559121760423
R-HSA-9662834	CD163 mediating an anti-inflammatory response	0.52253282716232
R-HSA-4419969	Depolymerization of the Nuclear Lamina	0.522483524790876
R-HSA-9013404	RAC2 GTPase cycle	0.522467090667061
R-HSA-9013149	RAC1 GTPase cycle	0.522378346398462
R-HSA-209560	NF-kB is activated and signals survival	0.522296175779388
R-HSA-354192	Integrin signaling	0.522279741655574
R-HSA-416700	Other semaphorin interactions	0.521997074725961
R-HSA-1663150	The activation of arylsulfatases	0.521898469983073
R-HSA-264870	Caspase-mediated cleavage of cytoskeletal proteins	0.521822873013525
R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	0.521819586188762
R-HSA-8851680	Butyrophilin (BTN) family interactions	0.521753849693504
R-HSA-75158	TRAIL  signaling	0.521628950352512
R-HSA-5660668	CLEC7A/inflammasome pathway	0.521431740866736
R-HSA-390918	Peroxisomal lipid metabolism	0.521395585794343
R-HSA-3000471	Scavenging by Class B Receptors	0.521264112803826
R-HSA-392517	Rap1 signalling	0.521247678680011
R-HSA-76002	Platelet activation, signaling and aggregation	0.521076763792338
R-HSA-8854691	Interleukin-20 family signaling	0.521073476967575
R-HSA-111458	Formation of apoptosome	0.521030748245657
R-HSA-9627069	Regulation of the apoptosome activity	0.521030748245657
R-HSA-8964046	VLDL clearance	0.52097815904945
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	0.520882841131325
R-HSA-199418	Negative regulation of the PI3K/AKT network	0.520813817811303
R-HSA-3296482	Defects in vitamin and cofactor metabolism	0.520777662738911
R-HSA-9754189	Germ layer formation at gastrulation	0.520744794491282
R-HSA-8851907	MET activates PI3K/AKT signaling	0.520698778944601
R-HSA-5693548	Sensing of DNA Double Strand Breaks	0.520616608325527
R-HSA-9759218	Cobalamin (Cbl) metabolism	0.520307646797811
R-HSA-211976	Endogenous sterols	0.520248483952078
R-HSA-1500620	Meiosis	0.520195894755871
R-HSA-70171	Glycolysis	0.520156452858716
R-HSA-8964208	Phenylalanine metabolism	0.520051274466302
R-HSA-418359	Reduction of cytosolic Ca++ levels	0.519564824401387
R-HSA-1221632	Meiotic synapsis	0.519561537576624
R-HSA-9703465	Signaling by FLT3 fusion proteins	0.519554963927098
R-HSA-549127	Organic cation transport	0.519502374730891
R-HSA-1660662	Glycosphingolipid metabolism	0.519413630462292
R-HSA-390247	Beta-oxidation of very long chain fatty acids	0.519370901740374
R-HSA-163765	ChREBP activates metabolic gene expression	0.519361041266085
R-HSA-5676934	Protein repair	0.519278870647012
R-HSA-5218920	VEGFR2 mediated vascular permeability	0.519055366563132
R-HSA-75109	Triglyceride biosynthesis	0.519022498315502
R-HSA-1483248	Synthesis of PIPs at the ER membrane	0.518835149304015
R-HSA-73887	Death Receptor Signaling	0.51868395536492
R-HSA-418594	G alpha (i) signalling events	0.518664234416342
R-HSA-163767	PP2A-mediated dephosphorylation of key metabolic factors	0.518552482374402
R-HSA-9758890	Transport of RCbl within the body	0.518486745879143
R-HSA-5218859	Regulated Necrosis	0.518483459054381
R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	0.518335551940048
R-HSA-70326	Glucose metabolism	0.518322404640997
R-HSA-5693537	Resolution of D-Loop Structures	0.518286249568604
R-HSA-9754560	SARS-CoV-2 modulates autophagy	0.51823694719716
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	0.518190931650479
R-HSA-9664873	Pexophagy	0.518121908330457
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	0.518108761031406
R-HSA-381070	IRE1alpha activates chaperones	0.518049598185673
R-HSA-1839124	FGFR1 mutant receptor activation	0.518020016762806
R-HSA-8865999	MET activates PTPN11	0.517901691071341
R-HSA-444209	Free fatty acid receptors	0.517858962349422
R-HSA-9709603	Impaired BRCA2 binding to PALB2	0.517809659977978
R-HSA-392451	G beta:gamma signalling through PI3Kgamma	0.517747210307482
R-HSA-912446	Meiotic recombination	0.517737349833194
R-HSA-69541	Stabilization of p53	0.517628884616017
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	0.517556574471232
R-HSA-8866376	Reelin signalling pathway	0.517254186593042
R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	0.517172015973968
R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	0.516997814261533
R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	0.516997814261533
R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	0.516997814261533
R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	0.516997814261533
R-HSA-111471	Apoptotic factor-mediated response	0.516958372364377
R-HSA-5617833	Cilium Assembly	0.516856480796726
R-HSA-205043	NRIF signals cell death from the nucleus	0.516836759848149
R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	0.516757876053838
R-HSA-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	0.516567240217588
R-HSA-192105	Synthesis of bile acids and bile salts	0.516439054051833
R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	0.516432480402307
